"title","category","date","date_created","description"
"The battle for the babies: Part1","Moody Global Ministries","""2016-06-08T13:52:43.882Z""","""2016-06-14T00:00:00.000Z""","For years, China prioritized women’s value as workers and supporters of the state, not as mothers. But in October 2015, China abandoned its policy of limiting families to one child. The one- child rule was implemented in the late 1970s in an effort to limit population growth. Parents who had a second child were fined and could even lose their jobs. The Chinese government made the recent change in the hope that it would help with China’s rapidly aging population and improve the gender balance.\r
\r
The battle between Jacob’s two wives reveals the opposite cultural value: a woman’s worth was based on her ability to have children. The inability to bear children was considered a mark of shame. In Jacob’s family, this shame was even more acute, and the tension between Rachel and Leah further aggravated by Jacob’s preference for Rachel. This resulted in what might be called “the battle of the babies.”\r
\r
Rachel and Leah vied with one another and even schemed to see who would have the most children. Some of their plots seem reminiscent of Abraham and Sarah’s attempt to force God’s hand through human effort. God had promised to use Jacob’s family line to fulfill the promise made to Abraham that he would be the father of nations. Both Leah and Rachel wanted to be the mother God used to keep that promise.\r
\r
God granted children to both, but not because of their schemes. His actions were motivated by compassion for the two women and in response to their prayers (Gen. 29:31; 30:6). Meanwhile Jacob seems like a hapless tool in all of this. He is passed back and forth between these women and their servants. His only comment is\r
an exasperated admission that the outcome rests in the hands of God (Gen. 30:2).\r
\r
"
"God of miracle 3","Open Heaven","""2016-06-08T14:09:54.087Z""","""2016-06-07T00:00:00.000Z""","The church is a spiritual evidence of the miracles of God. It is the Church that acts as the medium through which the miracles of God manifests to the world. Every individual in the Church of Jesus Christ has distinct functions. Many Christians today do not seem to be aware of the tremendous power they are endowed with once they become born again. Meanwhile, those who acknowledge, appreciate and use accordingly, the power given to them, experience miracles. Miracles from God cause the Church to grow. When there are genuine miracles, there is always an explosion of attendance, spiritual growth and commitment to the work of God. During one of our Holy Ghost services in Nigeria, the power of God was present and several miracles were happening around the altar. As a result, many people were standing up to catch a glimpse of what was responsible for the widespread excitement. There was a man in the congregation who was very short and could not see what was happening because others were taller and were blocking his view. Then with a strong desire, he whispered “Oh Lord, I wish I were taller”, and the Almighty God, who knows the voice of everyone, made him two inches taller. Ordinarily, this is not possible, but where God is involved, impossibilities became possible. This year, whatever looks impossible before you will receive the attention of Heaven in Jesus’ name.\r
"
"Positive expectations","Open Heaven","""2016-06-08T14:11:04.889Z""","""2016-06-08T00:00:00.000Z""","Being positive is vital to our walk as Christians. To be positive is an expression of our confidence in the Almighty God and His Word. Hence, a positive expectation is an act motivated by the Word of God, it is proof that all will be well, an evidence that you are bigger than all your problems and circumstances, an assurance that today’s situation does not determine tomorrow’s glory, and that as long as you are connected to Jesus, all your stories will turn out to be great testimonies. You cannot achieve your goals in life if you are not optimistic. When you are positive about the outcome of every situation, what the devil meant for evil will always turn out good for you. Every outstanding event in a man’s life will always be as a result of his expectation in God. \r
"
"Activating wonders 1","Open Heaven","""2016-06-08T14:32:19.651Z""","""2016-06-09T00:00:00.000Z""","There is no better life than a life that is full of wonders. This is the kind of life that Jesus Christ truly reflected. At a point in your Christian race, the life of Christ begins to replace your natural life and the abilities of God are made manifest in your endeavors. As a believer, people should look at you and prefer to serve the God you serve as a result of the undeniable proof that they can visibly see.\r
“Saying, what shall we do to these men? For that indeed a notable miracle hath been done by them is manifest to all them that dwell in Jerusalem; and we cannot deny it.”\r
Acts 4:16\r
During the time of Jesus’ earthly ministry, the people marveled at His manner of doctrine every time they had an opportunity to listen to Him at the synagogue. This is an example we should follow as children of God in our daily lives. People should be able to testify that the moment you gave your life to Christ, you become a supernatural being and the life of Christ was implanted in you.\r
There is the need to understand the potency of the power behind signs and wonders. The Name of Jesus is the only weapon that triggers wonders in the life of people. At the sight of His presence during the marriage at Cana in Galilee, they knew they could not be embarrassed. The Name of Jesus puts an end to all forms of harassment, lack and disgrace. When His Name is at work in your life, you can never be a victim of situations and circumstances. His Name is a seal of authority upon all our blessings.\r
"
"Departing from the Lord"," morning star","""2016-06-09T08:29:18.041Z""","""2016-06-09T00:00:00.000Z""","And Cain said to the LORD, ""My punishment is too great to bear!\r
\r
""Behold, Thou hast driven me this day from the face of the ground; and from Thy face I shall be hidden, and I shall be a vagrant and a wanderer on the earth, and it will come about that whoever finds me will kill me."" \r
\r
So the LORD said to him, ""Therefore whoever kills Cain, vengeance will be taken on him sevenfold."" And the LORD appointed a sign for Cain, lest anyone finding him should slay him. \r
\r
Then Cain went out from the presence of the LORD, and settled in the land of Nod, east of Eden (Genesis 4:13-16).\r
\r
When the Lord told Cain how he could be delivered from depression he did not listen. When we do not heed the Lord, it will usually result in our falling even further into sin, just as it did with Cain. Cain still could have turned to the Lord, humbled himself, and repented, and he would have received help. The Lord warned him that he had to master the sin, but he continued down the path of letting his sin master him.\r
\r
It is interesting that, even then, Cain understood the law of sowing and reaping, which Paul explained in Galatians 6:7: ""Do not be deceived, God is not mocked; for whatever a man sows, this he will also reap."" He knew that because he had murdered his brother, he was in danger of being murdered himself. This is a law that is as sure as the law of gravity. Therefore, if we want to receive grace, we should learn to sow grace every chance that we get. If we want to receive mercy, we should learn to sow mercy every chance we get. If we do good, we will reap good. If we do evil, we will reap the same.\r
\r
When reading about Cain's fear of being murdered, one might think, ""Who is going to murder him?"" Adam and Eve lived nearly one thousand years. They did begin to fulfil their commission to multiply and fill the earth, having many other sons and daughters. Obviously, there was already a population on the earth by the time Cain slew Abel. They were obviously close relatives to Cain, but he was still afraid of them. He had slain his own brother, so he knew that a brother could slay him. This was accurate enough, because all men ultimately derive their name from the same family, but that has never kept them from attacking one another.\r
\r
Even so, the Lord had mercy on Cain. He gave him a mark that would serve to protect him. Throughout the history of God's dealings with mankind, He has been quick to show unmerited grace and mercy to us. His grace and mercy is even enough for Him to negate the law of sowing and reaping. Throughout the Scriptures, we have many examples of the Lord causing crop failures from the evil seeds men have sown. However, we also have examples of swift judgement for those who have hardened their hearts and presumed upon His grace and mercy.\r
\r
The worst result of Cain's sin of murdering his brother was that he ""went out from the presence of the Lord."" When fighting occurs between brethren in churches, or between churches, this is often the ultimate result. Many will end up actually departing from the Lord. That is why from the very beginning, one of the enemy's primary strategies has been to get brothers to fight with each other. He is called ""the accuser of our brethren"" (see Revelation 12:10), because one of his most effective weapons against us is to get us accusing one another.\r
\r
Cain somehow thought that Abel was the reason for his rejection. The rejection of Cain's offering had nothing to do with Abel's offering. The answer to Cain's problem had nothing to do with Abel, but with himself. However, from the beginning, blaming someone else for our own problems has been one of the primary deceptions that has kept men from the grace of God. It has also led to the most destructive wars in history, and it has led to the most destructive wars between churches in history.\r
\r
First, the enemy will try to get us to be jealous of others. Then he will get us to accuse them of being the reason for our own problems. That is why nations that are having serious difficulties become so dangerous. It often seems much easier to blame someone else and attack them instead of dealing with our own problems. People will tend to rally around us if we can portray a common enemy that is causing our problems. Churches and people can become dangerous when they start having serious problems. If you see them starting to attack and blame others, it is time to depart. We must not continue to get caught in this trap of the enemy, which is the seemingly cheap escape from dealing with our own shortcomings. It will lead us to needlessly wounding others. Even worse than that, it will also lead us to ""departing from the presence of the Lord."
"The Ultimate Truth"," daily manna","""2016-06-09T08:32:30.185Z""","""2016-06-09T00:00:00.000Z""","Key Verse:\r
\r
""Thou shalt call, and I will answer thee: thou wilt have a desire to the work of thine hands"" (Job 14:15).\r
Agronomists and scientists say that times of drought are not disastrous after all. Their findings reveal that when everywhere is arid on the surface, economic trees are driven deeper to find water for sustenance. Put in a spiritual perspective, suffering can lead us beyond our ordinary acceptance of truth to complete dependence on God for hope, life and safety. This is what Job's concluding remarks to the submission of one of his friend's demonstrate. The mourners who showed up at Job's home to sympathise with him were of little help to relieve him of the catastrophe that has come his way. They rather infuriated him, insisting his sin caught up with him. His wife also provoked him, asking him to curse God and die. Estrangement from the Almighty and final death appeared to be better than the state in which Job found himself. It was in the midst of these despairing and death-sentencing circumstances that God enabled him to discover the ultimate truth. It is very much like the tree in the time of drought when it digs deeper for survival. Job also, in his moment of need, saw the glorious which New Testament believers know as Resurrection when God ""shall change our vile body, that it may be fashioned like unto his glorious body, according to the working whereby he is able even to subdue all things unto himself"" (Phillippians. 3:21). The great truth is that, it is not sufficient to flaunt our knowledge of the Scriptures as Christians. To claim to know Him and the doctrines of the Bible is not enough in our walk with God. This knowledge must be weighed in the balance of life's experiences. It is the fire of challenges that would determine the texture of our faith, the depth of absorption of what we take in from the Bible. We must all come to the point where we are driven to rely only on the deep, undiluted and uncorrupted word of God.\r
\r
Thought for the day: Faith untested by life's challenges is shallow"
"The Ultimate Truth"," daily manna","""2016-06-09T08:32:58.603Z""","""2016-06-09T00:00:00.000Z""","Key Verse:\r
\r
""Thou shalt call, and I will answer thee: thou wilt have a desire to the work of thine hands"" (Job 14:15).\r
Agronomists and scientists say that times of drought are not disastrous after all. Their findings reveal that when everywhere is arid on the surface, economic trees are driven deeper to find water for sustenance. Put in a spiritual perspective, suffering can lead us beyond our ordinary acceptance of truth to complete dependence on God for hope, life and safety. This is what Job's concluding remarks to the submission of one of his friend's demonstrate. The mourners who showed up at Job's home to sympathise with him were of little help to relieve him of the catastrophe that has come his way. They rather infuriated him, insisting his sin caught up with him. His wife also provoked him, asking him to curse God and die. Estrangement from the Almighty and final death appeared to be better than the state in which Job found himself. It was in the midst of these despairing and death-sentencing circumstances that God enabled him to discover the ultimate truth. It is very much like the tree in the time of drought when it digs deeper for survival. Job also, in his moment of need, saw the glorious which New Testament believers know as Resurrection when God ""shall change our vile body, that it may be fashioned like unto his glorious body, according to the working whereby he is able even to subdue all things unto himself"" (Phillippians. 3:21). The great truth is that, it is not sufficient to flaunt our knowledge of the Scriptures as Christians. To claim to know Him and the doctrines of the Bible is not enough in our walk with God. This knowledge must be weighed in the balance of life's experiences. It is the fire of challenges that would determine the texture of our faith, the depth of absorption of what we take in from the Bible. We must all come to the point where we are driven to rely only on the deep, undiluted and uncorrupted word of God.\r
\r
Thought for the day: Faith untested by life's challenges is shallow"
"Nothing is impossible","Rapsody of realities","""2016-06-09T08:39:01.948Z""","""2016-06-09T00:00:00.000Z""","“Amen I say to you that whosoever shall say to this mountain, Be thou removed and be cast into the sea, and shall not stagger in his heart, but be believe that whatsoever he saith shall be done; it shall be done unto him."" Mark 11: 23\r
Jesus said “in truth I tell you”. Isn’t it a fact that Jesus (God) is saying only the truth and always the truth? It is! So why he said “in truth”? To stress importance of this statement! To draw your attention and say: behold what I’m saying! To tell you that you must believe in what He says right now.\r
Another question - why did He use a mountain as an example? To lay emphasis that nothing is impossible! Completely nothing! Even things which are naturally impossible (moving a mountain would be definitely one of them) are possible for God!\r
Jesus is saying to you that there are no limits in what you can receive from God when you believe Him in your heart; when you believe without a doubt. Everything is possible. Anything you desire. So get rid of your doubts ones and for all; start believing God today.\r
Whatever is your need, you can have it all. Whatever is your problem it can be removed out of your way, forever. All is possible. All possible by a single act of faith with no doubt attached to it! Remember faith with no doubt!\r
God is not holding things from you; He is keeping them for you so you can have them when you will need them. Do not hesitate, believe and receive! Believe and receive are very important words. If you believe that you have received when you pray, you will get it. If you have doubts when you pray (will God give it to me?), you will get nothing. And remember Jesus told us to pray that way. You have only one choice today – to be obedient and trust Him with no doubts."
"Nothing is impossible","spiritual catholic","""2016-06-09T08:39:24.979Z""","""2016-06-09T00:00:00.000Z""","“Amen I say to you that whosoever shall say to this mountain, Be thou removed and be cast into the sea, and shall not stagger in his heart, but be believe that whatsoever he saith shall be done; it shall be done unto him."" Mark 11: 23\r
Jesus said “in truth I tell you”. Isn’t it a fact that Jesus (God) is saying only the truth and always the truth? It is! So why he said “in truth”? To stress importance of this statement! To draw your attention and say: behold what I’m saying! To tell you that you must believe in what He says right now.\r
Another question - why did He use a mountain as an example? To lay emphasis that nothing is impossible! Completely nothing! Even things which are naturally impossible (moving a mountain would be definitely one of them) are possible for God!\r
Jesus is saying to you that there are no limits in what you can receive from God when you believe Him in your heart; when you believe without a doubt. Everything is possible. Anything you desire. So get rid of your doubts ones and for all; start believing God today.\r
Whatever is your need, you can have it all. Whatever is your problem it can be removed out of your way, forever. All is possible. All possible by a single act of faith with no doubt attached to it! Remember faith with no doubt!\r
God is not holding things from you; He is keeping them for you so you can have them when you will need them. Do not hesitate, believe and receive! Believe and receive are very important words. If you believe that you have received when you pray, you will get it. If you have doubts when you pray (will God give it to me?), you will get nothing. And remember Jesus told us to pray that way. You have only one choice today – to be obedient and trust Him with no doubts."
"Activating wonders 2","Open Heaven","""2016-06-09T09:00:38.925Z""","""2016-06-10T00:00:00.000Z""","We live in a world where challenges and problems confront people on a daily basis. In my many years of ministering, I have sadly seen many lives wasted and destines destroyed by the devil and his agents. While some are looking up to God for healing, others are looking for deliverance from satanic afflictions, and some are struggling from self and sin. The Name of Jesus is a universal cure for all problems. If you believe in Jesus, no matter how hopeless your situation and condition maybe, there will be a supernatural intervention in your life.\r
\r
Every believer carries a measure of God’s glory. However, as we walk with God, we realise that the glory of God is in different phases, and God expects us to move from one level of glory to another consistently. In Christ, there is only a starting point but there is no end to the activation of His glory and wonders in our lives. All we need to do is believe Him and follow as He leads. Prayer precedes penetration into certain realms of God’s glory. Performing wonders is easy when the glory of God saturates our lives."
" Make Mercy a Way of Life","Every Prayer","""2016-06-09T09:35:39.187Z""","""2016-06-09T00:00:00.000Z""","It is because of the Lord's mercy and loving-kindness that we are not consumed, because His [tender] compassions fail not. They are new every morning; great and abundant is Your stability and faithfulness.\r
—Lamentations 3:22-23 AMPC\r
\r
Aren't you thankful for God's abundant mercy? it is new every morning. Surely we would all live miserable, defeated lives if it were not for His compassion and willingness to forgive us. \r
\r
When we meditate on God's mercy and truly realise how much He willingly forgives us, we can much more easily show mercy to others. Good relationships are impossible unless we are generous with mercy and forgiveness. Being merciful simply means forgiving others even though their actions would warrant our anger. \r
\r
Jesus said that we are to forgive our enemies and be kind. In this way, we show ourselves to be like our Father in heaven, for He is merciful and kind. \r
\r
God's mercy is new every morning, and I am glad—because I am sure I use my allotted portion every day. I am grateful for a new, fresh start each day. When we make mistakes, He does not want us to try to sacrifice to make up for them. When others hurt or offend us, He wants us to extend mercy to them. \r
\r
Learn to give and receive mercy regularly, and let mercy become a way of life for you. \r
\r
Love Others Today: God's mercies are new for you right now! Receive the mercy He has for you and extends mercy to everyone around you. "
"What lights your fire","Vision Christian media","""2016-06-09T11:24:43.913Z""","""2016-06-07T00:00:00.000Z""","‘My heart grew hot within me, and as I meditated, the fire burned.’ Psalm 39:3 NIV\r
When God gives you a vision for your life, it’ll burn within you like a fire that can’t be extinguished. The psalmist said, ‘My heart grew hot within me, and as I meditated, the fire burned.’ So, what lights your fire? What burns ‘hot’ within you? When God calls you to do something, He creates within you both the desire to do it and the power to carry it out. Though you feel inadequate and unqualified, stand on His Word: ‘For God is working in you, giving you the desire and the power to do what pleases Him.’ (Philippians 2:13 NLT) Mahatma Gandhi had a vision of a free and independent India at a time when it was governed by the British. Henry Ford had a vision of every family in America owning an automobile at a time when people were frightened of his new invention. Daniel K. Ludwig had a vision of a self-supporting industrial region in the heart of the Brazilian jungle at a time when there was no industry, no electricity, and no city of any kind for hundreds of kilometres. Where do such creative desires come from? God, Who is our Creator! And when God gives you a wide-blue-sky mindset, you’ll never be happy living in a mental birdcage. Are there times when you’ll feel afraid and uncertain about what to do? Yes! Fear and faith are two sides of the same coin, and they’ll always be part of your thinking. But the one you choose is the one that’ll determine your future—and you get to choose!\r
SoulFood: Ezek 16:53–19:14, Matt 16:13–28, Ps 48, Prov 14:33–35\r
"
"Your purpose will be accompanied by peace","Vision Christian media","""2016-06-09T12:41:18.371Z""","""2016-06-08T00:00:00.000Z""","‘You shall … be led out with peace.’ Isaiah 55:12 NKJV\r
Perhaps you’re wondering, ‘What am I supposed to do with my life? What’s my purpose here?’ God answers these questions through our abilities. He leads us to our life’s purpose through the skills and talents He has given us. God-given gifts are the skills a person easily performs, often without formal training. We derive great pleasure from doing what we’re naturally good at doing. So if you aren’t sure of your life’s purpose, just do what you do well and watch God confirm it by blessing your endeavours. Don’t spend your time trying to do what you’re not gifted to do, or what somebody else is good at. We know we’re operating in our gifts and calling when what we do ministers life to others. If what we do makes us miserable and fills us with a sense of dread, usually we’re not in God’s perfect will. He gives us peace and joy to let us know we’re fulfilling His perfect plan: ‘For you shall go out with joy, and be led out with peace.’ Look at what you enjoy, what you’re good at, and what God is giving you the grace to do—then let God be God in your life. He wants to flow through you, and it may not be in the same way as He flows through others. Trust His ability in and through you, and don’t be afraid to be unique. God has a specific place and a specific plan for each of us. How will you know you’re in the right place fulfilling His plan? You will have peace!\r
SoulFood: Ezek 20–21, Matt 17:1–13, Ps 132:1–10, Prov 15:1–4\r
"
"The winning strategy 1","Vision Christian media","""2016-06-09T12:45:39.124Z""","""2016-06-09T00:00:00.000Z""","‘Love never fails.’ 1 Corinthians 13:8 NIV\r
The Bible says, ‘Love never fails.’ Think about it: money doesn’t bring happiness, fame doesn’t bring self-worth, and revenge doesn’t bring satisfaction. The only thing that never fails is love. When Mother Teresa addressed world leaders at the United Nations, she was asked, ‘How can we have world peace?’ She replied, ‘Go home and love your family.’ If we all did that, ‘Paradise Lost’ would become ‘Paradise Found’! Napoleon Bonaparte’s intellectual greatness and intense egotism make his alleged tribute to the supremacy of leadership by love all the more striking. He said, ‘Alexander, Caesar, Charlemagne and I myself founded great empires: but upon what did the creations of our genius depend? Upon force. Jesus alone founded His empire upon love, and to this day millions would die for Him.’ Sometimes leaders are just power-holders. Because you can’t love others without making yourself vulnerable, they see expressing love as a weakness. But the fact is you can’t love and ‘keep all your options open’. To truly love—whether it’s your spouse, your children, or the people you lead—you must give yourself unreservedly in such a way that you can be hurt and even rejected. The fundamental principle on which power-holders operate is to protect themselves and everything they have. Whereas the fundamental principle of true leadership is to give of yourself with no holds barred. Love as an intrinsic characteristic of leadership seems outmoded, yet according to Scripture it’s still the winning strategy. The Bible says, ‘God has not given us a spirit of fear, but of power and of love and of a sound mind.’ (2 Timothy 1:7 NKJV) That’s why love is the winning strategy.\r
SoulFood: Ezek 22–23, Matt 17:14–27, Ps 132:11–18, Prov 15:5–7\r
"
"Live Like Royalty","Wisdom for the day","""2016-06-09T13:43:45.692Z""","""2016-06-09T00:00:00.000Z""","""And hath made us kings and priests unto God and his Father; to Him be glory and dominion for ever and ever. Amen."" Revelation 1:6 (KJV)\r
 \r
You are royalty. You have been made kings and priests unto God. The reason the devil runs roughshod over you is because you have refused to understand this fact and to behave like royalty. There are environments in which you can't find a worldly prince because he is royalty. There are ways in which he can't talk. There are movies he can't watch because he does not want his mind to be twisted. There is music he does not listen to. There are books he will not read. He lives his life by virtue of who he is. He lives his life conscious of the fact that he is royalty. Because he is born royalty, others will train him and guide him to live the life of royalty. He is uncommon, so he can't function like a common man.\r
 \r
The word 'common' means ordinary, inferior, lacking distinction, mean, low, lacking in rank, and not exceptional. Why would you function like a common man when God has elevated you? Ephesians 2:4-6 (KJV) says, ""But God, who is rich in mercy, for his great love wherewith he loved us, Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;) And hath raised us up together and made us sit together in heavenly places in Christ Jesus"".\r
 \r
For too long the church has been a misrepresentation of royalty. That is why it appears as if we don't have the authority to declare things and have them carried out. Because the devil says, ""What do you mean, you are like me? What right do you have to tell me what to do? There is no difference between us. You live like me."" Child of God, you are royalty! So stop living life frivolously. Take responsibility for your life. You are the extension of God in your world. You are His righteousness. You are His beloved. Square up your shoulders, knowing who you are. It's your assignment. Understand that you are royalty and live like royalty.\r
 \r
Further Reading: Ephesians 2:1-10\r
Daily Bible Reading: Morning-2 Chronicles 32-33; Evening-John 18:19-40"
"The Greatest Source of Power","Myutmost for his highest","""2016-06-09T17:08:18.625Z""","""1970-01-01T00:00:00.000Z""","Whatever you ask in My name, that I will do… —John 14:13\r
\r
 Am I fulfilling this ministry of intercession deep within the hidden recesses of my life? There is no trap nor any danger at all of being deceived or of showing pride in true intercession. It is a hidden ministry that brings forth fruit through which the Father is glorified. Am I allowing my spiritual life to waste away, or am I focused, bringing everything to one central point— the atonement of my Lord? Is Jesus Christ more and more dominating every interest of my life? If the central point, or the most powerful influence, of my life, is the atonement of the Lord, then every aspect of my life will bear fruit for Him.\r
However, I must take the time to realise what this central point of power is. Am I willing to give one minute out of every hour to concentrate on it? “If you abide in Me…”— that is if you continue to act, and think, and work from that central point— “you will ask what you desire, and it shall be done for you” (John 15:7). Am I abiding? Am I taking the time to abide? What is the greatest source of power in my life? Is it my work, service, and sacrifice for others, or is it my striving to work for God? It should be none of these— what ought to exert the greatest power in my life is the atonement of the Lord. It is not on what we spend the greatest amount of time that moulds us the most, but whatever exerts the most power over us. We must make a determination to limit and concentrate our desires and interests on the atonement by the Cross of Christ.\r
“Whatever you ask in My name, that I will do….” The disciple who abides in Jesus is the will of God, and what appears to be his free choices are actually God’s foreordained decrees. Is this mysterious? Does it appear to contradict sound logic or seem totally absurd? Yes, but what a glorious truth it is a saint of God.\r
WISDOM FROM OSWALD CHAMBERS\r
Seeing is never believing: we interpret what we see in the light of what we believe. Faith is confidence in God before you see God emerging; therefore, the nature of faith is that it must be tried.  He Shall Glorify Me, 494 R\r
Bible in One Year: 2 Chronicles 28-29; John 17\r"
"Come Up Higher","Wisdom for the day","""2016-06-09T17:08:18.628Z""","""1970-01-01T00:00:00.000Z""","""Whereby are given unto us exceeding great and precious promises: that by these ye might be partakers of the divine nature, having escaped the corruption that is in the world through lust."" 2 Peter 1:4 (KJV)\r
 \r
The only way you can be on top of the world system as a believer is for you to make the decision to order your life based on the word of God. Otherwise, you will remain minced meat in the hands of the world system. Others are not going to change, but we have a power that can lift us up. We have things within us and available to us. We have a power that can silence the powers of darkness and cause us to take our portion.\r
 \r
God has called us and told us to come up higher. It is an invitation to you from God, telling you to grow up and that you can no longer remain a baby. I am calling all believers to rise up and be high-flyers. It is an invitation to leave the mundane and mediocrity. It is an invitation to shoot for excellence, to leave your footprints on the sands of time, to come up to a life of abundance and success, and to live a fulfilled life.\r
 \r
But the problem is that spiritual men and women want to live their lives in the flesh. ""For to be carnally minded is death; but to be spiritually minded is life and peace"" (Romans 8:6, KJV). To be carnally minded means that you are thinking like the rest of the world even though you are a spiritual person. As long as you want to dominate the material world in your flesh, you will never succeed, because there is a devil that is loosed on earth to hinder you. But God is saying that through His word He has given us exceedingly great and precious promises. And through these promises in the word, we can partake of His divine nature.\r
 \r
However, though you have a divine nature, which is the life of Christ in you, you can't partake of it until you begin to function in the promises. Come up to the higher ground today and function in the word.\r
 \r
Further Reading: 2 Peter 1\r
Daily Bible Reading: Morning-2 Chronicles 30-31; Evening-John 18:1-18\r"
"Be Careful What You Think","Every Prayer","""2016-06-09T17:08:18.630Z""","""1970-01-01T00:00:00.000Z""","\r
But his delight and desire are in the law of the Lord, and on His law (the precepts, the instructions, the teachings of God) he habitually meditates (ponders and studies) by day and by night. And he shall be like a tree firmly planted [and tended] by the streams of water, ready to bring forth its fruit in its season; its leaf also shall not fade or wither, and everything he does shall prosper I and come to maturity].Psalm 1:2-3\r
Your word has I laid up in my heart, that I might not sin against You...I will meditate on Your precepts and have respect to Your ways [the paths of life marked out by Your law]. Psalm 119:11, 15\r
In the early days of computers, they used to say, ""Garbage in, garbage out."" That was a way of explaining that the computer only worked with the data put into the machine. If we wanted different results, we needed to put in different information.\r
When it comes to computers, most people have no trouble grasping that concept, but when it comes to their minds, they don't seem to get it. Or perhaps they don't want to get it. So many things demand their attention and beg for their focus. They're not just sinful things. The apostle Paul said that although everything was lawful for him, not everything was helpful (see l Corinthians 6:12).\r
If you are going to win the battle of the mind and defeat your enemy, where you focus your attention is crucial. The more you meditate on God's Word, the stronger you'll become and the more easily you'll win the victories.\r
Too many Christians don't realise the difference between meditating on the Bible and reading the Bible. They like to think that whenever they read God's Word, they're absorbing the deep things of God. Too often people will read a chapter of the Bible, and when they get to the last verse, they have little idea of what they've read. Those who meditate on Gods Word are those who think and think seriously about what they're reading.\r
They may not put it in these words, but they are saying, ""God, speak to me. Teach me. As I ponder Your Word, reveal its depth to me.""\r
In today’s scripture, I quoted from Psalm 1. This psalm begins by defining the person who is blessed and then points out the right actions of that person. The psalmist wrote that those who meditate and do it day and night are like productive trees...and everything they do shall prosper.\r
The psalmist made it quite clear that meditating on and thinking about God's Word brings results. As you ponder who God is and what He’s saying to you, you'll grow. It's really that simple. Another way to put it is to say that whatever you focus on, you become. If you read about and allow your mind to focus on God's love and power, that's what operates in you.\r
The apostle Paul says it beautifully in Philippians 4:8: ...""Whatever is true, whatever is worthy of reverence and is honorable and seemly, whatever is just, whatever is pure, whatever is lovely and lovable, whatever is kind and winsome and gracious, if there are any virtue and excellence, if there is anything worthy of praise, think on and weigh and take account of these things [fix your minds on them].""\r
It's sad, but most Christians don't put much effort into their study of the Word_ They go to hear others teach and preach, and they may listen to sermon tapes and read the Bible occasionally, but they're not dedicated to making God's Word a major part of their lives.\r
Be careful what you think about. The more you think about good things, the better your life will seem. The more you think about Jesus Christ and the principles He taught, the more you become like Jesus and the stronger you grow And as you grow, you win the battle for your mind.\r
Lord God, help me think about the things that honour` You. Fill my life with a hunger for more of You and Your Word so that in everything I may prosper. I ask this through Jesus Christ. Amen.\r"
"Then What’s Next To Do?","Myutmost for his highest","""2016-06-09T17:08:18.630Z""","""1970-01-01T00:00:00.000Z""","Everyone who asks receives… —Luke 11:10\r
\r
Ask if you have not received. There is nothing more difficult than asking. We will have yearnings and desires for certain things, and even suffer as a result of their going unfulfilled, but not until we are at the limit of desperation will we ask. It is the sense of not being spiritually real that causes us to ask. Have you ever asked out of the depths of your total insufficiency and poverty? “If any of you lacks wisdom, let him ask of God…” (James 1:5), but be sure that you do lack wisdom before you ask. You cannot bring yourself to the point of spiritual reality anytime you choose. The best thing to do, once you realise you are not spiritually real, is to ask God for the Holy Spirit, basing your request on the promise of Jesus Christ (see Luke 11:13). The Holy Spirit is the one who makes everything that Jesus did for you real in your life.\r
“Everyone who asks receives….” This does not mean that you will not get if you do not ask, but it means that until you come to the point of asking, you will not receive from God (seeMatthew 5:45). To be able to receive means that you have to come into the relationship of a child of God, and then you comprehend and appreciate mentally, morally, and with spiritual understanding, that these things come from God.\r
“If any of you lacks wisdom….” If you realise that you are lacking, it is because you have come in contact with spiritual reality— do not put the blinders of reason on again. The word asks actually means “beg.” Some people are poor enough to be interested in their poverty, and some of us are poor enough spiritually to show our interest. Yet we will never receive if we ask with a certain result in mind because we are asking out of our lust, not out of our poverty. A pauper does not ask out of any reason other than the completely hopeless and painful condition of his poverty. He is not ashamed to beg— blessed are the paupers in spirit (see Matthew 5:3).\r
WISDOM FROM OSWALD CHAMBERS\r
Am I getting nobler, better, more helpful, more humble, as I get older? Am I exhibiting the life that men take knowledge of as having been with Jesus, or am I getting more self-assertive, more deliberately determined to have my own way? It is a great thing to tell yourself the truth.\r
The Place of Help\r
Bible in One Year: 2 Chronicles 32-33; John 18:19-40"
